table,roll_min,roll_max,plate,chain,rigid_leather,soft_leather,none,note
AT-1,1,8,F,F,F,F,F,possible fumble
AT-1,9,45,0,0,0,0,0,
AT-1,46,50,1,0,0,0,0,
AT-1,51,55,1,1,0,0,0,
AT-1,56,60,2,1,0,0,0,
AT-1,61,65,2,2,1,0,0,
AT-1,66,70,3,3,2,3,0,
AT-1,71,75,3,4,3,5,0,
AT-1,76,80,4,5,5,7A,7,
AT-1,81,85,5,6,6,9A,9A,
AT-1,86,90,5,7,7A,10B,10A,
AT-1,91,95,6,8,9A,12B,11B,
AT-1,96,100,6,9,10B,13B,13C,
AT-1,101,105,7,10A,11B,14C,15C,
AT-1,106,110,8,11A,12B,15C,17D,
AT-1,111,115,8A,12B,13C,17C,19D,
AT-1,116,120,9A,13B,15C,18D,20D,
AT-1,121,125,9A,13C,16D,19D,21E,
AT-1,126,130,10B,14C,17D,20D,23E,
AT-1,131,135,11B,15C,18D,22D,25E,
AT-1,136,140,11C,16D,20D,23E,27E,
AT-1,141,145,12D,17D,21E,24E,28E,
AT-1,146,150,12E,18E,22E,25E,30E,
AT-2,1,8,F,F,F,F,F,possible fumble
AT-2,9,30,0,0,0,0,0,
AT-2,31,40,1,0,0,0,0,
AT-2,41,45,1,1,0,0,0,
AT-2,46,50,2,2,0,0,0,
AT-2,51,55,3,3,0,0,0,
AT-2,56,60,3,4,0,0,0,
AT-2,61,65,4,5,0,0,0,
AT-2,66,70,5,6,2,3,0,
AT-2,71,75,5,7,3,5,0,
AT-2,76,80,6,8,4,6,0,
AT-2,81,85,7,9,6,7A,6,
AT-2,86,90,8,10,7A,8A,8,
AT-2,91,95,8,11,8A,9A,9A,
AT-2,96,100,9,12A,9B,10B,10B,
AT-2,101,105,10,13A,10B,11B,12C,
AT-2,106,110,10A,14B,11B,12B,13C,
AT-2,111,115,11A,15B,12C,13C,14D,
AT-2,116,120,12B,16C,13C,14C,15D,
AT-2,121,125,13B,17C,14C,15C,16D,
AT-2,126,130,13C,18C,16D,16D,18E,
AT-2,131,135,14C,19D,17D,17D,19E,
AT-2,136,140,15D,20D,18D,18E,21E,
AT-2,141,145,16D,21E,19E,19E,22E,
AT-2,146,150,16E,22E,20E,20E,23E,
AT-3,1,8,F,F,F,F,F,possible fumble
AT-3,9,55,0,0,0,0,0,
AT-3,56,60,2,0,0,0,0,
AT-3,61,65,3,0,0,0,0,
AT-3,66,70,4,3,0,6,0,
AT-3,71,75,5,5,2,8A,0,
AT-3,76,80,6,7,4A,10A,0,
AT-3,81,85,7,9,7A,13B,10A,
AT-3,86,90,8,11,9B,15B,13B,
AT-3,91,95,9,12A,12B,17C,16C,
AT-3,96,100,11,14A,14C,20C,19D,
AT-3,101,105,12A,16B,17C,22C,22D,
AT-3,106,110,13A,18B,19C,24C,25D,
AT-3,111,115,14B,20C,22C,27D,28E,
AT-3,116,120,15B,22C,24D,29D,31E,
AT-3,121,125,16C,24C,27D,31D,33E,
AT-3,126,130,17C,26D,29D,33E,36E,
AT-3,131,135,19D,28D,32E,36E,39E,
AT-3,136,140,20D,29E,34E,38E,42E,
AT-3,141,145,21E,31E,37E,40E,45E,
AT-3,146,150,22E,33E,40E,43E,48E,
AT-4,1,8,F,F,F,F,F,possible fumble
AT-4,9,70,0,0,0,0,0,
AT-4,71,75,1,0,0,0,0,
AT-4,76,80,2,2,0,4,0,
AT-4,81,85,3,4,3,6,0,
AT-4,86,90,4,6,5,8A,0,
AT-4,91,95,5,7,7A,10A,8A,
AT-4,96,100,6,8A,9A,12B,10B,
AT-4,101,105,7,10B,10B,13B,11C,
AT-4,106,110,8A,13B,12B,14B,13C,
AT-4,111,115,9A,14B,13B,16C,15C,
AT-4,116,120,10A,16B,15B,17C,16D,
AT-4,121,125,11B,17C,17C,19D,18D,
AT-4,126,130,11B,19C,19D,20D,20D,
AT-4,131,135,12C,20D,21D,21D,22E,
AT-4,136,140,13C,22D,23D,23E,23E,
AT-4,141,145,14D,23E,25E,25E,25E,
AT-4,146,150,15E,25E,26E,26E,27E,
AT-5,1,2,F,F,F,F,F,attack failure
AT-5,3,45,0,0,0,0,0,
AT-5,46,50,0,0,0,0,1,
AT-5,51,55,0,0,0,0,2,
AT-5,56,60,1,0,0,1,4,
AT-5,61,65,1,1,1,2,5T,
AT-5,66,70,2,2,1,4,6T,
AT-5,71,75,3,3,3,5,8T,
AT-5,76,80,4,4,5,7T,9A,
AT-5,81,85,5,6,7T,9T,10A,maximum tiny attack
AT-5,86,90,6,6T,8T,10A,12A,
AT-5,91,95,6T,7T,9A,11A,13B,
AT-5,96,100,7T,8A,10A,12A,14B,
AT-5,101,105,7A,9A,11A,13B,15B,maximum small attack
AT-5,106,110,8A,10A,12B,15B,17C,
AT-5,111,115,9A,11B,13B,16C,19C,
AT-5,116,120,10B,12B,14C,17C,20D,maximum medium attack
AT-5,121,125,14B,15B,18C,20C,26D,
AT-5,126,130,16B,18C,20C,23D,28E,
AT-5,131,135,18C,22D,22D,25D,30E,maximum large attack
AT-5,136,140,20C,23D,26D,30E,36E,
AT-5,141,145,22D,25D,29E,33E,38E,
AT-5,146,150,24E,27E,32E,36E,40E,maximum huge attack
AT-6,1,8,F,F,F,F,F,possible fumble
AT-6,9,55,0,0,0,0,0,
AT-6,56,60,1,0,0,0,0,
AT-6,61,65,1,0,0,0,1,
AT-6,66,70,2T,1,0,1,1,
AT-6,71,75,2A,2T,1,3,2,
AT-6,76,80,3A,3T,2,4T,4,
AT-6,81,85,3A,4A,4T,6T,5,maximum tiny attack
AT-6,86,90,4A,4A,5T,7T,7T,
AT-6,91,95,4A,5A,6T,8A,8T,
AT-6,96,100,5B,6A,7A,9A,10T,
AT-6,101,105,5B,7A,8A,10A,11A,maximum small attack
AT-6,106,110,6C,8B,10A,12B,14A,
AT-6,111,115,7C,9C,11B,13B,15A,
AT-6,116,120,8C,10C,12B,14C,16B,maximum medium attack
AT-6,121,125,10D,11C,14B,16C,18B,
AT-6,126,130,11D,13D,16C,18C,20D,
AT-6,131,135,12D,15D,18C,20D,22D,maximum large attack
AT-6,136,140,14E,19D,22C,26D,28C,
AT-6,141,145,16E,21E,25D,28D,30C,
AT-6,146,150,18E,23E,27E,30E,33D,maximum huge attack
AT-7,1,2,F,F,F,F,F,spell failure roll
AT-7,3,10,F,F,F,F,F,spell failure roll
AT-7,11,20,F,F,0,0,0,
AT-7,21,35,0,0,0,0,0,
AT-7,36,40,1,0,0,0,0,
AT-7,41,45,2,1,0,0,0,
AT-7,46,50,3,1,0,1,0,
AT-7,51,55,4,2,1,1,0,
AT-7,56,60,5,2,2,2,0,
AT-7,61,65,6,3,4,3,8A,
AT-7,66,70,7A,4,5,4A,10A,
AT-7,71,75,7A,5A,6,5A,11B,
AT-7,76,80,8A,6A,7A,6B,12B,
AT-7,81,85,8A,7A,8A,7B,13B,
AT-7,86,90,9A,8A,9B,8B,14B,maximum shock bolts
AT-7,91,95,9A,9B,10B,10B,15C,
AT-7,96,100,10A,10B,11B,12C,16C,
AT-7,101,105,10B,11B,12C,14C,18C,
AT-7,106,110,11B,12C,13C,16C,20C,maximum water bolts
AT-7,111,115,12B,13C,14C,18C,22D,
AT-7,116,120,12C,14C,15C,20D,24D,
AT-7,121,125,13C,15C,16D,22D,26E,
