Index,Outcome
1,"No critical effect."
2,"No critical effect."
3,"No critical effect."
4,"No critical effect."
5,"No critical effect."
6,"Arm strike. +2 hits."
7,"Leg strike. +4 hits. If no leg armor: Sap."
8,"Chest strike. Graze and Push."
9,"Blow to shield arm. Graze. Shield torn away. If no shield: Restrained 2 rounds."
10,"Elbow strike. Forearm numbed. Graze x2. Drop weapon. Sap."
11,"Shot to side. Push. Drop anything carried in hands. Restrained 3 rounds."
12,"Side strike. Prone and Restrained 6 rounds."
13,"Hard head strike. Push and Restrained 6 rounds. If no helm: Stable at 0 hit points and 0 wounds. Wakes in 1d4 hours with 1 hit point. Injured: Disadvantage on two ability scores and half Speed until healed."
14,"Brutal strike to belly. Prone. Drop anything carried in hands. Restrained 15 rounds."
15,"Blow breaks leg. Graze x2. Injured: Disadvantage on two ability scores and half Speed until healed. Restrained 1 round."
16,"Head slammed into stone. Prone and Dying."
17,"Great side shot. Push. Prone. Lower leg broken. Restrained 7 rounds. Injured: Disadvantage on one ability score and half Speed until healed."
18,"Shield shoulder struck. Restrained 9 rounds. If no shield: Prone and Incapacitated; arm broken & useless."
