Level,Fighter,Cleric,Rogue,Wizard,Bard,Barbarian,Sorcerer,Paladin,CelestialWarlock,Monk,Ranger,Assassin
1,1,1,0,0,1,1,0,1,0,1,1,0
2,2,1,1,0,1,2,0,2,0,1,2,1
3,3,2,1,1,2,3,1,3,1,2,3,1
4,4,3,2,1,3,4,1,4,1,3,4,2
5,5,3,2,1,3,5,1,5,1,3,5,2
6,6,4,3,2,4,6,2,6,2,4,6,3
7,7,5,3,2,5,7,2,7,2,5,7,3
8,8,5,4,2,5,8,2,8,2,5,8,4
9,9,6,4,3,6,9,3,9,3,6,9,4
10,10,7,5,3,7,10,3,10,3,7,10,5
11,11,7,5,3,7,11,3,11,3,7,11,5
12,11,8,5,3,8,11,3,11,3,8,11,5
13,12,8,6,4,8,12,4,12,4,8,12,6
14,13,9,6,4,9,13,4,13,4,9,13,6
15,13,9,6,4,9,13,4,13,4,9,13,6
16,14,10,7,5,10,14,5,14,5,10,14,7
17,15,10,7,5,10,15,5,15,5,10,15,7
18,15,11,7,5,11,15,5,15,5,11,15,7
19,16,11,8,6,11,16,6,16,6,11,16,8
20,17,12,8,6,12,17,6,17,6,12,17,8
21,17,12,8,6,12,17,6,17,6,12,17,8
22,18,12,8,6,12,18,6,18,6,12,18,8
23,18,13,9,6,13,18,6,18,6,13,18,9
24,19,13,9,6,13,19,6,19,6,13,19,9
25,19,13,9,6,13,19,6,19,6,13,19,9
26,20,14,10,6,14,20,6,20,6,14,20,10
27,20,14,10,6,14,20,6,20,6,14,20,10
28,20,14,10,6,14,20,6,20,6,14,20,10
29,20,15,10,6,15,20,6,20,6,15,20,10
30,20,15,10,6,15,20,6,20,6,15,20,10
