Index,Tier_A_Minor,Tier_B_Moderate,Tier_C_Severe,Tier_D_Lethal,Tier_E_Catastrophic
1,"Glancing Strike. +0 hits. (Graze: +Ability Mod damage).","Frosty burn. +5 hits. 1 hit per round. Target has Disadvantage on next attack roll.","Cold strike to back. +8 hits. 2 hits per round. Target must make a CON save (DC = 8 + PB + Mod) or fall prone.","Strike to leg. +10 hits. 3 hits per round. Leg useless, target fall prone.","Strike to neck and collar area. +12 hits. Target has Disadvantage on next attack roll."
2,"Cold blast. +3 hits. Target has Disadvantage on next attack roll.","Mild frostbite. +6 hits. 2 hits per round. Target has Disadvantage on next attack roll.","Low frost blast. +8 hits. Target drops weapon.","Blast freezes hands. +12 hits. Target drops weapon.","Thigh iced and bone broken. +15 hits. 4 hits per round. Target fall prone."
3,"Frosty burn. +5 hits. 1 hit per round. Target has Disadvantage on next attack roll.","Cold strike to back. +8 hits. 2 hits per round. Target must make a CON save (DC = 8 + PB + Mod) or fall prone.","Strike to leg. +10 hits. 3 hits per round. Leg useless, target fall prone.","Strike to neck and collar area. +12 hits. Target has Disadvantage on next attack roll.","Icy blast to upper chest. +18 hits. 5 hits per round. Target fall prone."
4,"Mild frostbite. +6 hits. 2 hits per round. Target has Disadvantage on next attack roll.","Low frost blast. +8 hits. Target drops weapon.","Blast freezes hands. +12 hits. Target drops weapon.","Thigh iced and bone broken. +15 hits. 4 hits per round. Target fall prone.","Severe body freeze. +20 hits. Target fall prone."
5,"Cold strike to back. +8 hits. 2 hits per round. Target must make a CON save (DC = 8 + PB + Mod) or fall prone.","Strike to leg. +10 hits. 3 hits per round. Leg useless, target fall prone.","Strike to neck and collar area. +12 hits. Target has Disadvantage on next attack roll.","Icy blast to upper chest. +18 hits. 5 hits per round. Target fall prone.","Heart and lungs frozen. Target immediately reaches 0 HP, fall prone, and is Dying."
6,"Low frost blast. +8 hits. Target drops weapon.","Blast freezes hands. +12 hits. Target drops weapon.","Thigh iced and bone broken. +15 hits. 4 hits per round. Target fall prone.","Severe body freeze. +20 hits. Target fall prone.","Pelvis shattered by deep freeze. Target reaches 0 HP, fall prone, and is Dying."
7,"Strike to leg. +10 hits. 3 hits per round. Leg useless, target fall prone.","Strike to neck and collar area. +12 hits. Target has Disadvantage on next attack roll.","Icy blast to upper chest. +18 hits. 5 hits per round. Target fall prone.","Heart and lungs frozen. Target immediately reaches 0 HP, fall prone, and is Dying.","Core body temperature plummets. Target reaches 0 HP, is unconscious and Dying."
8,"Blast freezes hands. +12 hits. Target drops weapon.","Thigh iced and bone broken. +15 hits. 4 hits per round. Target fall prone.","Severe body freeze. +20 hits. Target fall prone.","Pelvis shattered by deep freeze. Target reaches 0 HP, fall prone, and is Dying.","Frozen solid into a statue. Target reaches 0 HP, is unconscious and Dying."
9,"Strike to neck and collar area. +12 hits. Target has Disadvantage on next attack roll.","Icy blast to upper chest. +18 hits. 5 hits per round. Target fall prone.","Heart and lungs frozen. Target immediately reaches 0 HP, fall prone, and is Dying.","Core body temperature plummets. Target reaches 0 HP, is unconscious and Dying.","Frozen solid and shatters into pieces. Target dies instantly."
10,"Thigh iced and bone broken. +15 hits. 4 hits per round. Target fall prone.","Severe body freeze. +20 hits. Target fall prone.","Pelvis shattered by deep freeze. Target reaches 0 HP, fall prone, and is Dying.","Frozen solid into a statue. Target reaches 0 HP, is unconscious and Dying.","Brain and heart flash frozen. Target dies instantly."
