Index,Outcome
1,"Glancing Strike. +0 hits. (Graze: +Ability Mod damage)."
2,"Strong heat wave. +3 hits. Attacker gains Advantage on next attack roll against target."
3,"Minor burns & hot smoke. +6 hits. 1 burn/rd. Target is Blinded until end of next turn."
4,"Clothing catches on fire. +8 hits. 2 burn/rd. Takes 2 fire damage per round until extinguished."
5,"Fiery blast. +10 hits. Target must make a CON save (DC = 8 + PB + Mod) or fall Prone."
6,"Fire engulfs back. +12 hits. 2 burn/rd. Target fall prone."
7,"Shield arm scorched. +12 hits. Shield broken. If no shield: arm useless."
8,"Blast to leg. +15 hits. 3 burn/rd. Leg useless, target fall prone."
9,"Scorching head blast. +15 hits. Target is Blinded and has Disadvantage on next attack."
10,"Blast to chest. +18 hits. Chest armor broken, target fall prone."
11,"Fire engulfs body. +20 hits. 4 burn/rd. Target fall prone and is Stunned for 1 round."
12,"Severe body incineration. +22 hits. 5 burn/rd. Target fall prone."
13,"Blast to head causes massive shock. Target immediately reaches 0 HP, fall prone, and is Dying."
14,"Body engulfed in searing flame. Target reaches 0 HP, fall prone, and is Dying."
15,"Internal organs charred by heat. Target reaches 0 HP, is unconscious and Dying."
16,"Midsection incinerated. Target reaches 0 HP, is unconscious and Dying."
17,"Reduced to ash. Body incinerated. Target dies instantly."
18,"Vaporized instantly by fiery inferno. Target dies instantly."
