Index,Tier_A_Minor,Tier_B_Moderate,Tier_C_Severe,Tier_D_Lethal,Tier_E_Catastrophic
1,"Glancing Strike. +0 hits. (Graze: +Ability Mod damage).","Arc flash explosion. +4 hits. Target is Blinded.","Heavy electrical charge. +9 hits. Target must make a CON save (DC = 8 + PB + Mod) or fall prone.","Strike to weapon arm. +12 hits. 2 hits per round. Weapon arm useless, target drops weapon.","Chest strike. +15 hits. Target has Disadvantage on next attack roll."
2,"Light electrical charge. +3 hits. Attacker gains Advantage on next attack roll against target before end of next turn.","Medium electrical charge. +6 hits. Target has Disadvantage on next attack roll.","Strike to shield arm. +12 hits. Target drops shield.","Strike to face. +14 hits. Target is Blinded and fall prone.","Abdomen strike. +18 hits. 4 hits per round. Target fall prone."
3,"Arc flash explosion. +4 hits. Target is Blinded.","Heavy electrical charge. +9 hits. Target must make a CON save (DC = 8 + PB + Mod) or fall prone.","Strike to weapon arm. +12 hits. 2 hits per round. Weapon arm useless, target drops weapon.","Chest strike. +15 hits. Target has Disadvantage on next attack roll.","Massive chest discharge. +20 hits. 5 hits per round. Target fall prone."
4,"Medium electrical charge. +6 hits. Target has Disadvantage on next attack roll.","Strike to shield arm. +12 hits. Target drops shield.","Strike to face. +14 hits. Target is Blinded and fall prone.","Abdomen strike. +18 hits. 4 hits per round. Target fall prone.","Neural system shock. +22 hits. Target fall prone."
5,"Heavy electrical charge. +9 hits. Target must make a CON save (DC = 8 + PB + Mod) or fall prone.","Strike to weapon arm. +12 hits. 2 hits per round. Weapon arm useless, target drops weapon.","Chest strike. +15 hits. Target has Disadvantage on next attack roll.","Massive chest discharge. +20 hits. 5 hits per round. Target fall prone.","Permeated by electricity. Target immediately reaches 0 HP, fall prone, and is Dying."
6,"Strike to shield arm. +12 hits. Target drops shield.","Strike to face. +14 hits. Target is Blinded and fall prone.","Abdomen strike. +18 hits. 4 hits per round. Target fall prone.","Neural system shock. +22 hits. Target fall prone.","Brain falls victim to massive neural shock. Target reaches 0 HP, fall prone, and is Dying."
7,"Strike to weapon arm. +12 hits. 2 hits per round. Weapon arm useless, target drops weapon.","Chest strike. +15 hits. Target has Disadvantage on next attack roll.","Massive chest discharge. +20 hits. 5 hits per round. Target fall prone.","Permeated by electricity. Target immediately reaches 0 HP, fall prone, and is Dying.","Heart and lungs destroyed by high voltage. Target reaches 0 HP, is unconscious and Dying."
8,"Strike to face. +14 hits. Target is Blinded and fall prone.","Abdomen strike. +18 hits. 4 hits per round. Target fall prone.","Neural system shock. +22 hits. Target fall prone.","Brain falls victim to massive neural shock. Target reaches 0 HP, fall prone, and is Dying.","Abdominal cavity severed by electrical arc. Target reaches 0 HP, is unconscious and Dying."
9,"Chest strike. +15 hits. Target has Disadvantage on next attack roll.","Massive chest discharge. +20 hits. 5 hits per round. Target fall prone.","Permeated by electricity. Target immediately reaches 0 HP, fall prone, and is Dying.","Heart and lungs destroyed by high voltage. Target reaches 0 HP, is unconscious and Dying.","Heart disintegrated by superconductor arc. Target dies instantly."
10,"Abdomen strike. +18 hits. 4 hits per round. Target fall prone.","Neural system shock. +22 hits. Target fall prone.","Brain falls victim to massive neural shock. Target reaches 0 HP, fall prone, and is Dying.","Abdominal cavity severed by electrical arc. Target reaches 0 HP, is unconscious and Dying.","Cell structure disrupted. Target dies instantly."
