Index,Outcome
1,"Glancing Strike. +0 hits. (Graze: +Ability Mod damage)."
2,"Grazing blast. +5 hits. Attacker gains Advantage on next attack roll against target."
3,"Strike to shoulder spun about. +8 hits. Knocked back 10 feet."
4,"Strike to leg. +8 hits. Target must make a CON save (DC = 8 + PB + Mod) or fall prone."
5,"Rocked by side blast. +10 hits. Knocked back 10 feet."
6,"Blast to shield arm. +10 hits. Shield broken. If no shield: shoulder broken."
7,"Blast to collar area. +12 hits. Target drops weapon."
8,"Blow to upper leg. +15 hits. Leg useless, target fall prone."
9,"Knee dislocated. +15 hits. Target fall prone."
10,"Blow to jaw. +15 hits. Target has Disadvantage on next attack roll."
11,"Blast to abdomen. +18 hits. Target fall prone."
12,"Both arms broken. +20 hits. Target drops weapon, fall prone."
13,"Blow to side drives rib into kidneys. Target immediately reaches 0 HP, fall prone, and is Dying."
14,"Internal organs destroyed by shockwave. Target reaches 0 HP, fall prone, and is Dying."
15,"Chest cavity crushed by impact. Target reaches 0 HP, is unconscious and Dying."
16,"Skull fractured into pieces. Target reaches 0 HP, is unconscious and Dying."
17,"Skull shattered into particles. Target dies instantly."
18,"Entire skeleton pulverized by kinetic force. Target dies instantly."
